LST	all	br	grey	dark
11.883333333333333	0.0	0.0	0.0	0.0
11.9	0.0	0.0	0.0	0.0
11.916666666666666	0.0	0.0	0.0	0.0
11.933333333333334	0.0	0.0	0.0	0.0
11.95	0.0	0.0	0.0	0.0
11.966666666666667	0.0	0.0	0.0	0.0
11.983333333333333	0.0	0.0	0.0	0.0
12.0	0.0	0.0	0.0	0.0
12.016666666666667	0.0	0.0	0.0	0.0
12.033333333333333	0.0	0.0	0.0	0.0
12.05	0.0	0.0	0.0	0.0
12.066666666666666	0.0	0.0	0.0	0.0
12.083333333333334	0.0	0.0	0.0	0.0
12.1	0.0	0.0	0.0	0.0
12.116666666666667	0.0	0.0	0.0	0.0
12.133333333333333	0.0	0.0	0.0	0.0
12.15	0.0	0.0	0.0	0.0
12.166666666666666	0.0	0.0	0.0	0.0
12.183333333333334	0.0	0.0	0.0	0.0
12.2	0.0	0.0	0.0	0.0
12.216666666666667	0.0	0.0	0.0	0.0
12.233333333333333	0.0	0.0	0.0	0.0
12.25	0.0	0.0	0.0	0.0
12.266666666666666	0.0	0.0	0.0	0.0
12.283333333333333	0.0	0.0	0.0	0.0
12.3	0.0	0.0	0.0	0.0
12.316666666666666	0.0	0.0	0.0	0.0
12.333333333333334	0.0	0.0	0.0	0.0
12.35	0.0	0.0	0.0	0.0
12.366666666666667	0.0	0.0	0.0	0.0
12.383333333333333	0.0	0.0	0.0	0.0
12.4	0.0	0.0	0.0	0.0
12.416666666666666	0.0	0.0	0.0	0.0
12.433333333333334	0.0	0.0	0.0	0.0
12.45	0.0	0.0	0.0	0.0
12.466666666666667	0.0	0.0	0.0	0.0
12.483333333333333	0.0	0.0	0.0	0.0
12.5	0.0	0.0	0.0	0.0
12.516666666666666	0.0	0.0	0.0	0.0
12.533333333333333	0.0	0.0	0.0	0.0
12.55	0.0	0.0	0.0	0.0
12.566666666666666	0.0	0.0	0.0	0.0
12.583333333333334	0.0	0.0	0.0	0.0
12.6	0.0	0.0	0.0	0.0
12.616666666666667	0.0	0.0	0.0	0.0
12.633333333333333	0.0	0.0	0.0	0.0
12.65	0.0	0.0	0.0	0.0
12.666666666666666	0.0	0.0	0.0	0.0
12.683333333333334	0.0	0.0	0.0	0.0
12.7	0.0	0.0	0.0	0.0
12.716666666666667	0.0	0.0	0.0	0.0
12.733333333333333	0.0	0.0	0.0	0.0
12.75	0.0	0.0	0.0	0.0
12.766666666666666	0.0	0.0	0.0	0.0
12.783333333333333	0.0	0.0	0.0	0.0
12.8	0.0	0.0	0.0	0.0
12.816666666666666	0.0	0.0	0.0	0.0
12.833333333333332	0.0	0.0	0.0	0.0
12.85	0.0	0.0	0.0	0.0
12.866666666666667	0.0	0.0	0.0	0.0
12.883333333333333	0.0	0.0	0.0	0.0
12.9	0.0	0.0	0.0	0.0
12.916666666666666	0.0	0.0	0.0	0.0
