LST	all	br	gray	dark
1.0	0.0	0.0	0.0	0.0
1.0166666666666666	0.0	0.0	0.0	0.0
1.0333333333333334	0.0	0.0	0.0	0.0
1.0500000000000003	0.0	0.0	0.0	0.0
1.0666666666666669	0.0	0.0	0.0	0.0
1.0833333333333335	0.0	0.0	0.0	0.0
1.1000000000000003	0.0	0.0	0.0	0.0
1.1166666666666671	0.0	0.0	0.0	0.0
1.1333333333333337	0.0	0.0	0.0	0.0
1.1500000000000004	0.0	0.0	0.0	0.0
1.1666666666666672	0.0	0.0	0.0	0.0
1.183333333333334	0.0	0.0	0.0	0.0
1.2000000000000006	0.0	0.0	0.0	0.0
1.2166666666666672	0.0	0.0	0.0	0.0
1.233333333333334	0.0	0.0	0.0	0.0
1.2500000000000009	0.0	0.0	0.0	0.0
1.2666666666666675	0.0	0.0	0.0	0.0
1.283333333333334	0.0	0.0	0.0	0.0
1.300000000000001	0.0	0.0	0.0	0.0
1.3166666666666678	0.0	0.0	0.0	0.0
1.3333333333333344	0.0	0.0	0.0	0.0
1.350000000000001	0.0	0.0	0.0	0.0
1.3666666666666678	0.0	0.0	0.0	0.0
1.3833333333333346	0.0	0.0	0.0	0.0
1.4000000000000012	0.0	0.0	0.0	0.0
1.4166666666666679	0.0	0.0	0.0	0.0
1.4333333333333347	0.0	0.0	0.0	0.0
1.4500000000000015	0.0	0.0	0.0	0.0
1.4666666666666681	0.0	0.0	0.0	0.0
1.4833333333333347	0.0	0.0	0.0	0.0
1.5000000000000016	0.0	0.0	0.0	0.0
1.5166666666666684	0.0	0.0	0.0	0.0
1.533333333333335	0.0	0.0	0.0	0.0
1.5500000000000016	0.0	0.0	0.0	0.0
1.5666666666666684	0.0	0.0	0.0	0.0
1.5833333333333353	0.0	0.0	0.0	0.0
1.6000000000000019	0.0	0.0	0.0	0.0
1.6166666666666685	0.0	0.0	0.0	0.0
1.6333333333333353	0.0	0.0	0.0	0.0
1.6500000000000021	0.0	0.0	0.0	0.0
1.6666666666666687	0.0	0.0	0.0	0.0
1.6833333333333353	0.0	0.0	0.0	0.0
1.7000000000000022	0.0	0.0	0.0	0.0
1.716666666666669	0.0	0.0	0.0	0.0
1.7333333333333356	0.0	0.0	0.0	0.0
1.7500000000000022	0.0	0.0	0.0	0.0
1.766666666666669	0.0	0.0	0.0	0.0
1.7833333333333359	0.0	0.0	0.0	0.0
1.8000000000000025	0.0	0.0	0.0	0.0
1.816666666666669	0.0	0.0	0.0	0.0
1.833333333333336	0.0	0.0	0.0	0.0
1.8500000000000028	0.0	0.0	0.0	0.0
1.8666666666666694	0.0	0.0	0.0	0.0
1.883333333333336	0.0	0.0	0.0	0.0
1.9000000000000028	0.0	0.0	0.0	0.0
1.9166666666666696	0.0	0.0	0.0	0.0
1.9333333333333362	0.0	0.0	0.0	0.0
1.9500000000000028	0.0	0.0	0.0	0.0
1.9666666666666697	0.0	0.0	0.0	0.0
1.9833333333333365	0.0	0.0	0.0	0.0
2.000000000000003	0.0	0.0	0.0	0.0
2.0166666666666697	0.0	0.0	0.0	0.0
2.0333333333333368	0.0	0.0	0.0	0.0
2.0500000000000034	0.0	0.0	0.0	0.0
2.06666666666667	0.0	0.0	0.0	0.0
2.0833333333333366	0.0	0.0	0.0	0.0
2.100000000000003	0.0	0.0	0.0	0.0
2.1166666666666702	0.0	0.0	0.0	0.0
2.133333333333337	0.0	0.0	0.0	0.0
2.1500000000000035	0.0	0.0	0.0	0.0
2.1666666666666705	0.0	0.0	0.0	0.0
2.183333333333337	0.0	0.0	0.0	0.0
2.2000000000000037	0.0	0.0	0.0	0.0
2.2166666666666703	0.0	0.0	0.0	0.0
2.233333333333337	0.0	0.0	0.0	0.0
2.250000000000004	0.0	0.0	0.0	0.0
2.2666666666666706	0.0	0.0	0.0	0.0
2.283333333333337	0.0	0.0	0.0	0.0
2.3000000000000043	0.0	0.0	0.0	0.0
2.316666666666671	0.0	0.0	0.0	0.0
2.3333333333333375	0.0	0.0	0.0	0.0
2.350000000000004	0.0	0.0	0.0	0.0
2.3666666666666707	0.0	0.0	0.0	0.0
2.3833333333333377	0.0	0.0	0.0	0.0
2.4000000000000044	0.0	0.0	0.0	0.0
2.416666666666671	0.0	0.0	0.0	0.0
2.433333333333338	0.0	0.0	0.0	0.0
2.4500000000000046	0.0	0.0	0.0	0.0
2.4666666666666712	0.0	0.0	0.0	0.0
2.483333333333338	0.0	0.0	0.0	0.0
2.5000000000000044	0.0	0.0	0.0	0.0
2.5166666666666715	0.0	0.0	0.0	0.0
2.533333333333338	0.0	0.0	0.0	0.0
2.5500000000000047	0.0	0.0	0.0	0.0
2.5666666666666718	0.0	0.0	0.0	0.0
2.5833333333333384	0.0	0.0	0.0	0.0
2.600000000000005	0.0	0.0	0.0	0.0
2.6166666666666716	0.0	0.0	0.0	0.0
2.633333333333338	0.0	0.0	0.0	0.0
2.6500000000000052	0.0	0.0	0.0	0.0
2.666666666666672	0.0	0.0	0.0	0.0
2.6833333333333385	0.0	0.0	0.0	0.0
2.7000000000000055	0.0	0.0	0.0	0.0
2.716666666666672	0.0	0.0	0.0	0.0
2.7333333333333387	0.0	0.0	0.0	0.0
2.7500000000000053	0.0	0.0	0.0	0.0
2.766666666666672	0.0	0.0	0.0	0.0
2.783333333333339	0.0	0.0	0.0	0.0
2.8000000000000056	0.0	0.0	0.0	0.0
2.816666666666672	0.0	0.0	0.0	0.0
2.8333333333333393	0.0	0.0	0.0	0.0
2.850000000000006	0.0	0.0	0.0	0.0
2.8666666666666725	0.0	0.0	0.0	0.0
2.883333333333339	0.0	0.0	0.0	0.0
2.9000000000000057	0.0	0.0	0.0	0.0
2.9166666666666727	0.0	0.0	0.0	0.0
2.9333333333333393	0.0	0.0	0.0	0.0
2.950000000000006	0.0	0.0	0.0	0.0
